Year,Month,Day,Rainfall
2011,05,01,27.6
2011,05,02,26.5
2011,05,03,27.9
2011,05,04,27.1
2011,05,05,28.8
2011,05,06,29.7
2011,05,07,30.0
2011,05,08,30.8
2011,05,09,30.9
2011,05,10,30.0
2011,05,11,29.8
2011,05,12,27.9
2011,05,13,28.6
2011,05,14,27.9
2011,05,15,29.3
2011,05,16,28.9
2011,05,17,29.1
2011,05,18,29.0
2011,05,19,29.3
2011,05,20,29.2
2011,05,21,28.6
2011,05,22,29.4
2011,05,23,29.7
2011,05,24,30.0
2011,05,25,28.6
2011,05,26,29.1
2011,05,27,28.8
2011,05,28,29.2
2011,05,29,29.0
2011,05,30,29.6
2011,05,31,28.7
2011,06,01,27.7
2011,06,02,28.9
2011,06,03,29.4
2011,06,04,28.7
2011,06,05,26.5
2011,06,06,26.8
2011,06,07,29.4
2011,06,08,29.8
2011,06,09,27.6
2011,06,10,29.4
2011,06,11,27.4
2011,06,12,28.6
2011,06,13,28.9
2011,06,14,29.1
2011,06,15,29.8
2011,06,16,28.1
2011,06,17,29.4
2011,06,18,27.7
2011,06,19,29.0
2011,06,20,29.6
2011,06,21,29.8
2011,06,22,29.6
2011,06,23,27.7
2011,06,24,29.4
2011,06,25,28.8
2011,06,26,29.3
2011,06,27,29.2
2011,06,28,29.1
2011,06,29,29.0
2011,06,30,26.5
2011,07,01,28.7
2011,07,02,29.4
2011,07,03,28.7
2011,07,04,29.1
2011,07,05,29.7
2011,07,06,29.7
2011,07,07,29.6
2011,07,08,29.8
2011,07,09,29.6
2011,07,10,28.9
2011,07,11,29.4
2011,07,12,28.0
2011,07,13,29.7
2011,07,14,29.7
2011,07,15,27.6
2011,07,16,27.0
2011,07,17,28.7
2011,07,18,29.4
2011,07,19,29.4
2011,07,20,29.5
2011,07,21,29.6
2011,07,22,27.9
2011,07,23,28.6
2011,07,24,29.3
2011,07,25,28.2
2011,07,26,28.7
2011,07,27,28.7
2011,07,28,29.2
2011,07,29,29.4
2011,07,30,29.3
2011,07,31,29.2
2011,08,01,29.2
2011,08,02,29.4
2011,08,03,28.8
2011,08,04,26.7
2011,08,05,28.8
2011,08,06,29.0
2011,08,07,27.4
2011,08,08,28.9
2011,08,09,29.3
2011,08,10,29.5
2011,08,11,29.5
2011,08,12,29.4
2011,08,13,28.8
2011,08,14,29.3
2011,08,15,26.3
2011,08,16,28.2
2011,08,17,28.7
2011,08,18,29.1
2011,08,19,29.6
2011,08,20,28.7
2011,08,21,28.9
2011,08,22,29.3
2011,08,23,29.0
2011,08,24,29.5
2011,08,25,29.1
2011,08,26,27.0
2011,08,27,26.3
2011,08,28,28.4
2011,08,29,27.5
2011,08,30,27.6
2011,08,31,28.8
2011,09,01,29.5
2011,09,02,29.6
2011,09,03,28.8
2011,09,04,29.1
2011,09,05,29.1
2011,09,06,29.3
2011,09,07,29.3
2011,09,08,29.0
2011,09,09,29.3
2011,09,10,27.8
2011,09,11,28.1
2011,09,12,29.0
2011,09,13,29.1
2011,09,14,28.0
2011,09,15,27.8
2011,09,16,28.8
2011,09,17,28.1
2011,09,18,28.5
2011,09,19,27.4
2011,09,20,27.0
2011,09,21,27.8
2011,09,22,26.2
2011,09,23,28.7
2011,09,24,29.5
2011,09,25,29.5
2011,09,26,27.4
2011,09,27,28.6
2011,09,28,28.2
2011,09,29,29.4
2011,09,30,28.3
2011,10,01,28.8
2011,10,02,27.9
2011,10,03,29.6
2011,10,04,26.0
