Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
admiralty,189730,200210,209130,213510,218330,222560,226320,229850,235590,243940,246080,248490,248750,250650,251050,251450,250760,251160,253430,255700
ang-mo-kio,394060,387460,383840,374740,374870,377860,381740,385480,388870,395700,396040,394020,396030,394940,393380,387180,382090,377440,372420,369150
boon-lay-east,294050,305560,313050,312540,315790,320080,325100,330410,340110,352850,356100,357390,358800,358520,358770,358070,355520,351740,348640,344240
changi,117790,120920,122660,122430,122910,124200,126460,129280,131580,134050,136060,136280,138440,139430,140160,142810,145790,147500,149160,150000
choa-chu-kang-south,137030,145950,152340,155400,157970,161530,163980,166470,168730,172120,173670,174060,174380,175030,175660,174560,179620,186880,187840,191100
clementi,379180,388010,396590,394770,402490,409390,416360,422070,424400,433150,436200,435730,437980,439070,440660,445650,448230,450370,456810,464470
east-coast-parkway,538760,537880,538700,528940,529080,531640,534680,539200,543360,554020,557050,557080,556390,554710,552700,551900,546880,544460,539380,536990
jurong-island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khatib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marina-barrage,165400,159250,155240,149250,148710,150880,154070,157500,160250,165770,170580,175790,177300,178040,177560,176130,173750,173100,171500,169940
newton,239460,236710,236450,227280,229260,234450,241420,244990,246000,252000,254190,254130,255370,255820,256730,257590,256620,256810,256940,259010
pasir-panjang,97790,95890,94990,92340,92690,92890,93960,95160,96340,98670,98500,97950,98200,99310,98740,98210,99530,97800,98090,96470
pulau-ubin,0,70,80,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seletar,62000,88640,115960,137850,159180,173360,185800,196580,208250,218450,227050,236380,253170,271760,290610,316990,350540,379450,403060,416090
semakau-island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sembawang,209990,220560,226960,228410,232640,237100,240120,244500,249840,256150,259990,260860,262930,264120,270430,280600,285650,292780,304790,318940
sentosa-island,0,0,0,0,0,0,0,0,190,380,630,900,1070,1300,1340,1440,1580,1670,1810,1880
tai-seng,445380,442290,440330,432150,433140,435480,439530,444880,452320,460980,463520,464060,464270,466080,466940,465500,462940,461260,456450,458690
tengah,670,540,600,620,660,700,770,800,930,1010,1050,1030,1040,1010,970,920,820,800,790,750
tuas-south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
