Time,Cases,Time_Diff (Difference between this time point and the next time point),Time + 8,Cases,Difference (of T and T + 8),Average*2
947290000000,17,-604400000,952128000000,14,9,25836.2873786408
947894400000,10,-604800000,952732800000,11,1,(on all data)
948499200000,15,-604800000,953337600000,3,144,
949104000000,15,-604800000,953942400000,12,9,
949708800000,13,-604800000,954547200000,6,49,
950313600000,19,-604800000,955152000000,4,225,
950918400000,5,-604800000,955756800000,8,9,
951523200000,16,-604800000,956361600000,8,64,
952128000000,14,-604800000,956966400000,12,4,
952732800000,11,-604800000,957571200000,11,0,
953337600000,3,-604800000,958176000000,7,16,
953942400000,12,-604800000,958780800000,13,1,
954547200000,6,-604800000,959385600000,7,1,
955152000000,4,-604800000,959990400000,9,25,
955756800000,8,-604800000,960595200000,14,36,
956361600000,8,-604800000,961200000000,10,4,
956966400000,12,-604800000,961804800000,11,1,
957571200000,11,-604800000,962409600000,21,100,
958176000000,7,-604800000,963014400000,13,36,
958780800000,13,-604800000,963619200000,12,1,
959385600000,7,-604800000,964224000000,13,36,
959990400000,9,-604800000,964828800000,17,64,
960595200000,14,-604800000,965433600000,24,100,
961200000000,10,-604800000,966038400000,11,1,
961804800000,11,-604800000,966643200000,22,121,
962409600000,21,-604800000,967248000000,20,1,
963014400000,13,-604800000,967852800000,10,9,
963619200000,12,-604800000,968457600000,11,1,
964224000000,13,-604800000,969062400000,7,36,
964828800000,17,-604800000,969667200000,27,100,
965433600000,24,-604800000,970272000000,18,36,
966038400000,11,-604800000,970876800000,14,9,
966643200000,22,-604800000,971481600000,14,64,
967248000000,20,-604800000,972086400000,11,81,
967852800000,10,-604800000,972691200000,9,1,
968457600000,11,-604800000,973296000000,14,9,
969062400000,7,-604800000,973900800000,11,16,
969667200000,27,-604800000,974505600000,15,144,
970272000000,18,-604800000,975110400000,19,1,
970876800000,14,-604800000,975715200000,9,25,
971481600000,14,-604800000,976320000000,8,36,
972086400000,11,-604800000,976924800000,13,4,
972691200000,9,-604800000,977529600000,22,169,
973296000000,14,-604800000,978134400000,18,16,
973900800000,11,-604800000,978739200000,11,0,
974505600000,15,-604800000,979344000000,22,49,
975110400000,19,-604800000,979948800000,24,25,
975715200000,9,-604800000,980553600000,15,36,
976320000000,8,-604800000,981158400000,26,324,
976924800000,13,-604800000,981763200000,16,9,
977529600000,22,-604800000,982368000000,23,1,
978134400000,18,-604800000,982972800000,33,225,
978739200000,11,-604800000,983577600000,30,361,
979344000000,22,-604800000,984182400000,29,49,
979948800000,24,-604800000,984787200000,47,529,
980553600000,15,-604800000,985392000000,38,529,
981158400000,26,-604800000,985996800000,29,9,
981763200000,16,-604800000,986601600000,30,196,
982368000000,23,-604800000,987206400000,15,64,
982972800000,33,-604800000,987811200000,39,36,
983577600000,30,-604800000,988416000000,33,9,
984182400000,29,-604800000,989020800000,37,64,
984787200000,47,-604800000,989625600000,40,49,
985392000000,38,-604800000,990230400000,42,16,
985996800000,29,-604800000,990835200000,65,1296,
986601600000,30,-604800000,991440000000,40,100,
987206400000,15,-604800000,992044800000,40,625,
987811200000,39,-604800000,992649600000,36,9,
988416000000,33,-604800000,993254400000,77,1936,
989020800000,37,-604800000,993859200000,55,324,
989625600000,40,-604800000,994464000000,126,7396,
990230400000,42,-604800000,995068800000,69,729,
990835200000,65,-604800000,995673600000,79,196,
991440000000,40,-604800000,996278400000,78,1444,
992044800000,40,-604800000,996883200000,90,2500,
992649600000,36,-604800000,997488000000,76,1600,
993254400000,77,-604800000,998092800000,100,529,
993859200000,55,-604800000,998697600000,64,81,
994464000000,126,-604800000,999302400000,63,3969,
995068800000,69,-604800000,999907200000,86,289,
995673600000,79,-604800000,1000512000000,83,16,
996278400000,78,-604800000,1001116800000,55,529,
996883200000,90,-604800000,1001721600000,52,1444,
997488000000,76,-604800000,1002326400000,51,625,
998092800000,100,-604800000,1002931200000,51,2401,
998697600000,64,-604800000,1003536000000,35,841,
999302400000,63,-604800000,1004140800000,32,961,
999907200000,86,-604800000,1004745600000,35,2601,
1000512000000,83,-604800000,1005350400000,37,2116,
1001116800000,55,-604800000,1005955200000,32,529,
1001721600000,52,-604800000,1006560000000,41,121,
1002326400000,51,-604800000,1007164800000,26,625,
1002931200000,51,-604800000,1007769600000,41,100,
1003536000000,35,-604800000,1008374400000,35,0,
1004140800000,32,-604800000,1008979200000,26,36,
1004745600000,35,-604800000,1009584000000,17,324,
1005350400000,37,-604800000,1010188800000,20,289,
1005955200000,32,-604800000,1010793600000,23,81,
1006560000000,41,-604800000,1011398400000,23,324,
1007164800000,26,-604800000,1012003200000,19,49,
1007769600000,41,-604800000,1012608000000,20,441,
1008374400000,35,-604800000,1013212800000,18,289,
1008979200000,26,-604800000,1013817600000,12,196,
1009584000000,17,-604800000,1014422400000,27,100,
1010188800000,20,-604800000,1015027200000,19,1,
1010793600000,23,-604800000,1015632000000,12,121,
1011398400000,23,-604800000,1016236800000,32,81,
1012003200000,19,-604800000,1016841600000,17,4,
1012608000000,20,-604800000,1017446400000,25,25,
1013212800000,18,-604800000,1018051200000,41,529,
1013817600000,12,-604800000,1018656000000,40,784,
1014422400000,27,-604800000,1019260800000,33,36,
1015027200000,19,-604800000,1019865600000,41,484,
1015632000000,12,-604800000,1020470400000,45,1089,
1016236800000,32,-604800000,1021075200000,64,1024,
1016841600000,17,-604800000,1021680000000,58,1681,
1017446400000,25,-604800000,1022284800000,79,2916,
1018051200000,41,-604800000,1022889600000,55,196,
1018656000000,40,-604800000,1023494400000,51,121,
1019260800000,33,-604800000,1024099200000,60,729,
1019865600000,41,-604800000,1024704000000,63,484,
1020470400000,45,-604800000,1025308800000,54,81,
1021075200000,64,-604800000,1025913600000,91,729,
1021680000000,58,-604800000,1026518400000,105,2209,
1022284800000,79,-604800000,1027123200000,113,1156,
1022889600000,55,-604800000,1027728000000,115,3600,
1023494400000,51,-604800000,1028332800000,136,7225,
1024099200000,60,-604800000,1028937600000,83,529,
1024704000000,63,-604800000,1029542400000,154,8281,
1025308800000,54,-604800000,1030147200000,147,8649,
1025913600000,91,-604800000,1030752000000,156,4225,
1026518400000,105,-604800000,1031356800000,144,1521,
1027123200000,113,-604800000,1031961600000,159,2116,
1027728000000,115,-604800000,1032566400000,139,576,
1028332800000,136,-604800000,1033171200000,129,49,
1028937600000,83,-604800000,1033776000000,124,1681,
1029542400000,154,-604800000,1034380800000,141,169,
1030147200000,147,-604800000,1034985600000,121,676,
1030752000000,156,-604800000,1035590400000,110,2116,
1031356800000,144,-604800000,1036195200000,101,1849,
1031961600000,159,-604800000,1036800000000,95,4096,
1032566400000,139,-604800000,1037404800000,99,1600,
1033171200000,129,-604800000,1038009600000,96,1089,
1033776000000,124,-604800000,1038614400000,96,784,
1034380800000,141,-604800000,1039219200000,72,4761,
1034985600000,121,-604800000,1039824000000,87,1156,
1035590400000,110,-604800000,1040428800000,115,25,
1036195200000,101,-604800000,1041033600000,64,1369,
1036800000000,95,-604800000,1041638400000,68,729,
1037404800000,99,-604800000,1042243200000,104,25,
1038009600000,96,-604800000,1042848000000,97,1,
1038614400000,96,-604800000,1043452800000,86,100,
1039219200000,72,-604800000,1044057600000,89,289,
1039824000000,87,-604800000,1044662400000,64,529,
1040428800000,115,-604800000,1045267200000,89,676,
1041033600000,64,-604800000,1045872000000,89,625,
1041638400000,68,-604800000,1046476800000,100,1024,
1042243200000,104,-604800000,1047081600000,62,1764,
1042848000000,97,-604800000,1047686400000,93,16,
1043452800000,86,-604800000,1048291200000,86,0,
1044057600000,89,-604800000,1048896000000,65,576,
1044662400000,64,-604800000,1049500800000,98,1156,
1045267200000,89,-604800000,1050105600000,65,576,
1045872000000,89,-604800000,1050710400000,55,1156,
1046476800000,100,-604800000,1051315200000,76,576,
1047081600000,62,-604800000,1051920000000,38,576,
1047686400000,93,-604800000,1052524800000,81,144,
1048291200000,86,-604800000,1053129600000,96,100,
1048896000000,65,-604800000,1053734400000,127,3844,
1049500800000,98,-604800000,1054339200000,189,8281,
1050105600000,65,-604800000,1054944000000,258,37249,
1050710400000,55,-604800000,1055548800000,165,12100,
1051315200000,76,-604800000,1056153600000,165,7921,
1051920000000,38,-604800000,1056758400000,131,8649,
1052524800000,81,-604800000,1057363200000,144,3969,
1053129600000,96,-604800000,1057968000000,128,1024,
1053734400000,127,-604800000,1058572800000,78,2401,
1054339200000,189,-604800000,1059177600000,75,12996,
1054944000000,258,-604800000,1059782400000,62,38416,
1055548800000,165,-604800000,1060387200000,63,10404,
1056153600000,165,-604800000,1060992000000,64,10201,
1056758400000,131,-604800000,1061596800000,83,2304,
1057363200000,144,-604800000,1062201600000,93,2601,
1057968000000,128,-604800000,1062806400000,51,5929,
1058572800000,78,-604800000,1063411200000,79,1,
1059177600000,75,-604800000,1064016000000,61,196,
1059782400000,62,-604800000,1064620800000,78,256,
1060387200000,63,-604800000,1065225600000,67,16,
1060992000000,64,-604800000,1065830400000,75,121,
1061596800000,83,-604800000,1066435200000,67,256,
1062201600000,93,-604800000,1067040000000,74,361,
1062806400000,51,-604800000,1067644800000,98,2209,
1063411200000,79,-604800000,1068249600000,100,441,
1064016000000,61,-604800000,1068854400000,94,1089,
1064620800000,78,-604800000,1069459200000,90,144,
1065225600000,67,-604800000,1070064000000,60,49,
1065830400000,75,-604800000,1070668800000,67,64,
1066435200000,67,-604800000,1071273600000,95,784,
1067040000000,74,-604800000,1071878400000,83,81,
1067644800000,98,-604800000,1072483200000,71,729,
1068249600000,100,-604800000,1073088000000,53,2209,
1068854400000,94,-604800000,1073692800000,81,169,
1069459200000,90,-604800000,1074297600000,87,9,
1070064000000,60,-604800000,1074902400000,57,9,
1070668800000,67,-604800000,1075507200000,81,196,
1071273600000,95,-604800000,1076112000000,70,625,
1071878400000,83,-604800000,1076716800000,63,400,
1072483200000,71,-604800000,1077321600000,62,81,
1073088000000,53,-604800000,1077926400000,56,9,
1073692800000,81,-604800000,1078531200000,67,196,
1074297600000,87,-604800000,1079136000000,58,841,
1074902400000,57,-604800000,1079740800000,36,441,
1075507200000,81,-604800000,1080345600000,43,1444,
1076112000000,70,-604800000,1080950400000,42,784,
1076716800000,63,-604800000,1081555200000,38,625,
1077321600000,62,-604800000,1082160000000,99,1369,
1077926400000,56,-604800000,1082764800000,83,729,
1078531200000,67,-604800000,1083369600000,90,529,
1079136000000,58,-604800000,1083974400000,139,6561,
1079740800000,36,-604800000,1084579200000,119,6889,
1080345600000,43,-604800000,1085184000000,93,2500,
1080950400000,42,-604800000,1085788800000,129,7569,
1081555200000,38,-604800000,1086393600000,149,12321,
1082160000000,99,-604800000,1086998400000,135,1296,
1082764800000,83,-604800000,1087603200000,156,5329,
1083369600000,90,-604800000,1088208000000,163,5329,
1083974400000,139,-604800000,1088812800000,163,576,
1084579200000,119,-604800000,1089417600000,191,5184,
1085184000000,93,-604800000,1090022400000,220,16129,
1085788800000,129,-604800000,1090627200000,222,8649,
1086393600000,149,-604800000,1091232000000,221,5184,
1086998400000,135,-604800000,1091836800000,311,30976,
1087603200000,156,-604800000,1092441600000,258,10404,
1088208000000,163,-604800000,1093046400000,281,13924,
1088812800000,163,-604800000,1093651200000,332,28561,
1089417600000,191,-604800000,1094256000000,276,7225,
1090022400000,220,-604800000,1094860800000,314,8836,
1090627200000,222,-604800000,1095465600000,263,1681,
1091232000000,221,-604800000,1096070400000,325,10816,
1091836800000,311,-604800000,1096675200000,302,81,
1092441600000,258,-604800000,1097280000000,244,196,
1093046400000,281,-604800000,1097884800000,340,3481,
1093651200000,332,-604800000,1098489600000,314,324,
1094256000000,276,-604800000,1099094400000,260,256,
1094860800000,314,-604800000,1099699200000,258,3136,
1095465600000,263,-604800000,1100304000000,192,5041,
1096070400000,325,-604800000,1100908800000,263,3844,
1096675200000,302,-604800000,1101513600000,316,196,
1097280000000,244,-604800000,1102118400000,300,3136,
1097884800000,340,-604800000,1102723200000,305,1225,
1098489600000,314,-604800000,1103328000000,329,225,
1099094400000,260,-604800000,1103932800000,290,900,
1099699200000,258,-604800000,1104537600000,243,225,
1100304000000,192,-604800000,1105142400000,317,15625,
1100908800000,263,-604800000,1105747200000,298,1225,
1101513600000,316,-604800000,1106352000000,217,9801,
1102118400000,300,-604800000,1106956800000,272,784,
1102723200000,305,-604800000,1107561600000,282,529,
1103328000000,329,-604800000,1108166400000,198,17161,
1103932800000,290,-604800000,1108771200000,317,729,
1104537600000,243,-604800000,1109376000000,237,36,
1105142400000,317,-604800000,1109980800000,156,25921,
1105747200000,298,-604800000,1110585600000,158,19600,
1106352000000,217,-604800000,1111190400000,103,12996,
1106956800000,272,-604800000,1111795200000,100,29584,
1107561600000,282,-604800000,1112400000000,138,20736,
1108166400000,198,-604800000,1113004800000,125,5329,
1108771200000,317,-604800000,1113609600000,118,39601,
1109376000000,237,-604800000,1114214400000,139,9604,
1109980800000,156,-604800000,1114819200000,118,1444,
